fuente,indicador,anio,departamento,casos,poblacion_0a17_ech,n_muestral_poblacion,tasa_por_10mil,pobreza_2019_pct,n_muestral_pobreza_2019_pct,hacinamiento_2019_pct,n_muestral_hacinamiento_2019_pct
fiscalia,actuaciones FGN delitos sexuales NNA,2020,Treinta y Tres,27,13531.0,405,19.95,26.86,405,8.02,247
fiscalia,actuaciones FGN delitos sexuales NNA,2021,Artigas,80,20406.0,735,39.2,18.1,735,2.12,442
fiscalia,actuaciones FGN delitos sexuales NNA,2021,Canelones,394,151348.0,3834,26.03,9.99,3834,5.68,2303
fiscalia,actuaciones FGN delitos sexuales NNA,2021,Cerro Largo,64,24499.0,780,26.12,15.66,780,5.6,472
fiscalia,actuaciones FGN delitos sexuales NNA,2021,Colonia,69,32797.0,985,21.04,7.63,985,2.29,605
fiscalia,actuaciones FGN delitos sexuales NNA,2021,Durazno,49,15734.0,549,31.14,16.87,549,3.51,310
fiscalia,actuaciones FGN delitos sexuales NNA,2021,Flores,22,6830.0,257,32.21,7.63,257,1.36,159
fiscalia,actuaciones FGN delitos sexuales NNA,2021,Florida,45,18313.0,534,24.57,8.81,534,1.62,321
fiscalia,actuaciones FGN delitos sexuales NNA,2021,Lavalleja,33,14963.0,445,22.05,13.33,445,4.16,256
fiscalia,actuaciones FGN delitos sexuales NNA,2021,Maldonado,164,47049.0,1159,34.86,4.82,1159,2.77,709
fiscalia,actuaciones FGN delitos sexuales NNA,2021,Montevideo,718,309135.0,7744,23.23,24.07,7744,4.6,4693
fiscalia,actuaciones FGN delitos sexuales NNA,2021,Paysandú,86,35921.0,1064,23.94,15.74,1064,7.59,588
fiscalia,actuaciones FGN delitos sexuales NNA,2021,Rivera,80,30123.0,998,26.56,18.97,998,3.31,593
fiscalia,actuaciones FGN delitos sexuales NNA,2021,Rocha,64,18819.0,743,34.01,13.14,743,1.92,463
fiscalia,actuaciones FGN delitos sexuales NNA,2021,Río Negro,54,17069.0,483,31.64,11.9,483,3.05,283
fiscalia,actuaciones FGN delitos sexuales NNA,2021,Salto,125,37383.0,1238,33.44,13.71,1238,4.81,691
fiscalia,actuaciones FGN delitos sexuales NNA,2021,San José,92,30305.0,966,30.36,4.77,966,3.66,572
fiscalia,actuaciones FGN delitos sexuales NNA,2021,Soriano,81,23326.0,663,34.73,11.74,663,3.52,363
fiscalia,actuaciones FGN delitos sexuales NNA,2021,Tacuarembó,77,25595.0,807,30.08,14.04,807,2.61,480
fiscalia,actuaciones FGN delitos sexuales NNA,2021,Treinta y Tres,27,13531.0,405,19.95,26.86,405,8.02,247
