indicador_codigo,indicador_nombre,departamento,periodo,apertura,valor,unidad
13,Cantidad de NNA que egresan del Sistema de Protección Especial en el departamento según tiempos de permanencia en la intervención,Artigas,2024-S2,total,41.0,cantidad
13,Cantidad de NNA que egresan del Sistema de Protección Especial en el departamento según tiempos de permanencia en la intervención,Artigas,2025-S1,total,50.0,cantidad
13,Cantidad de NNA que egresan del Sistema de Protección Especial en el departamento según tiempos de permanencia en la intervención,Artigas,2025-S2,total,90.0,cantidad
14,Cantidad de NNA que dejan de vivir en residencias en el departamento para vivir con una familia,Artigas,2020-S1,total,56.0,cantidad
14,Cantidad de NNA que dejan de vivir en residencias en el departamento para vivir con una familia,Artigas,2020-S2,total,18.0,cantidad
14,Cantidad de NNA que dejan de vivir en residencias en el departamento para vivir con una familia,Artigas,2021-S1,total,25.0,cantidad
14,Cantidad de NNA que dejan de vivir en residencias en el departamento para vivir con una familia,Artigas,2021-S2,total,31.0,cantidad
14,Cantidad de NNA que dejan de vivir en residencias en el departamento para vivir con una familia,Artigas,2022-S1,total,43.0,cantidad
14,Cantidad de NNA que dejan de vivir en residencias en el departamento para vivir con una familia,Artigas,2022-S2,total,41.0,cantidad
14,Cantidad de NNA que dejan de vivir en residencias en el departamento para vivir con una familia,Artigas,2023-S1,total,60.0,cantidad
14,Cantidad de NNA que dejan de vivir en residencias en el departamento para vivir con una familia,Artigas,2023-S2,total,61.0,cantidad
14,Cantidad de NNA que dejan de vivir en residencias en el departamento para vivir con una familia,Artigas,2024-S1,total,45.0,cantidad
14,Cantidad de NNA que dejan de vivir en residencias en el departamento para vivir con una familia,Artigas,2024-S2,total,39.0,cantidad
14,Cantidad de NNA que dejan de vivir en residencias en el departamento para vivir con una familia,Artigas,2025-S1,total,47.0,cantidad
14,Cantidad de NNA que dejan de vivir en residencias en el departamento para vivir con una familia,Artigas,2025-S2,total,56.0,cantidad
15,Cantidad de NNA con condición de adoptabilidad en el departamento,Artigas,2020-S1,total,13.0,cantidad
15,Cantidad de NNA con condición de adoptabilidad en el departamento,Artigas,2020-S2,total,11.0,cantidad
15,Cantidad de NNA con condición de adoptabilidad en el departamento,Artigas,2021-S1,total,8.0,cantidad
15,Cantidad de NNA con condición de adoptabilidad en el departamento,Artigas,2021-S2,total,14.0,cantidad
15,Cantidad de NNA con condición de adoptabilidad en el departamento,Artigas,2022-S1,total,14.0,cantidad
15,Cantidad de NNA con condición de adoptabilidad en el departamento,Artigas,2022-S2,total,19.0,cantidad
15,Cantidad de NNA con condición de adoptabilidad en el departamento,Artigas,2023-S1,total,20.0,cantidad
15,Cantidad de NNA con condición de adoptabilidad en el departamento,Artigas,2023-S2,total,17.0,cantidad
15,Cantidad de NNA con condición de adoptabilidad en el departamento,Artigas,2024-S1,total,19.0,cantidad
15,Cantidad de NNA con condición de adoptabilidad en el departamento,Artigas,2024-S2,total,15.0,cantidad
15,Cantidad de NNA con condición de adoptabilidad en el departamento,Artigas,2025-S1,total,17.0,cantidad
15,Cantidad de NNA con condición de adoptabilidad en el departamento,Artigas,2025-S2,total,20.0,cantidad
16,"Porcentaje de NNA con condición de adoptabilidad en el departamento, respecto al total de NNA atendidos por el Sistema de Protección Especial en el departamento",Artigas,2020-S1,total,9.8,porcentaje
16,"Porcentaje de NNA con condición de adoptabilidad en el departamento, respecto al total de NNA atendidos por el Sistema de Protección Especial en el departamento",Artigas,2020-S2,total,8.0,porcentaje
16,"Porcentaje de NNA con condición de adoptabilidad en el departamento, respecto al total de NNA atendidos por el Sistema de Protección Especial en el departamento",Artigas,2021-S1,total,4.9,porcentaje
16,"Porcentaje de NNA con condición de adoptabilidad en el departamento, respecto al total de NNA atendidos por el Sistema de Protección Especial en el departamento",Artigas,2021-S2,total,7.4,porcentaje
16,"Porcentaje de NNA con condición de adoptabilidad en el departamento, respecto al total de NNA atendidos por el Sistema de Protección Especial en el departamento",Artigas,2022-S1,total,7.2,porcentaje
16,"Porcentaje de NNA con condición de adoptabilidad en el departamento, respecto al total de NNA atendidos por el Sistema de Protección Especial en el departamento",Artigas,2022-S2,total,8.7,porcentaje
16,"Porcentaje de NNA con condición de adoptabilidad en el departamento, respecto al total de NNA atendidos por el Sistema de Protección Especial en el departamento",Artigas,2023-S1,total,8.6,porcentaje
