cuadro,titulo,fila,departamento,columna,valor,unidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención","Atención y apoyo a niños, niñas, adolescentes y familias",Total país,Juventud y Adultez|Mujeres,6.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención","Atención y apoyo a niños, niñas, adolescentes y familias",Total país,Juventud y Adultez|Varones,5.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención","Atención y apoyo a niños, niñas, adolescentes y familias",Total país,Total|Mujeres,7306.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención","Atención y apoyo a niños, niñas, adolescentes y familias",Total país,Total|Varones,6820.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención","Atención y apoyo a niños, niñas, adolescentes y familias",Total país,total,14126.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Promoción de autonomía y ciudadanía,Total país,Primera Infancia|Mujeres,32.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Promoción de autonomía y ciudadanía,Total país,Primera Infancia|Varones,34.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Promoción de autonomía y ciudadanía,Total país,Infancia|Mujeres,592.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Promoción de autonomía y ciudadanía,Total país,Infancia|Varones,523.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Promoción de autonomía y ciudadanía,Total país,Adolescencia|Mujeres,671.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Promoción de autonomía y ciudadanía,Total país,Adolescencia|Varones,724.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Promoción de autonomía y ciudadanía,Total país,Juventud|Mujeres,271.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Promoción de autonomía y ciudadanía,Total país,Juventud|Varones,277.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Promoción de autonomía y ciudadanía,Total país,Juventud y Adultez|Mujeres,27.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Promoción de autonomía y ciudadanía,Total país,Juventud y Adultez|Varones,12.0,cantidad
